2000 SOC code,2000 SOC title,2010 SOC code,2010 SOC title
51_4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51_4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51_4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51_4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51_4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51_4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51_4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",51_4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
51_4041,Machinists,51_4041,Machinists
51_4051,Metal-Refining Furnace Operators and Tenders,51_4051,Metal-Refining Furnace Operators and Tenders
51_4052,"Pourers and Casters, Metal",51_4052,"Pourers and Casters, Metal"
51_4061,"Model Makers, Metal and Plastic",51_4061,"Model Makers, Metal and Plastic"
51_4062,"Patternmakers, Metal and Plastic",51_4062,"Patternmakers, Metal and Plastic"
51_4071,Foundry Mold and Coremakers,51_4071,Foundry Mold and Coremakers
51_4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",51_4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
51_4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",51_4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
51_4111,Tool and Die Makers,51_4111,Tool and Die Makers
51_4121,"Welders, Cutters, Solderers, and Brazers",51_4121,"Welders, Cutters, Solderers, and Brazers"
51_4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",51_4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
51_4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",51_4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
51_4192,"Lay-Out Workers, Metal and Plastic",51_4192,"Layout Workers, Metal and Plastic"
51_4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",51_4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
51_4194,"Tool Grinders, Filers, and Sharpeners",51_4194,"Tool Grinders, Filers, and Sharpeners"
51_4199,"Metal Workers and Plastic Workers, All Other",51_4199,"Metal Workers and Plastic Workers, All Other"
51_5011,Bindery Workers,51_5113,Print Binding and Finishing Workers**
51_5012,Bookbinders,51_5113,Print Binding and Finishing Workers**
51_5021,Job Printers*,51_5112,Printing Press Operators**
51_5021,Job Printers*,51_5113,Print Binding and Finishing Workers**
51_5022,Prepress Technicians and Workers,51_5111,Prepress Technicians and Workers
51_5023,Printing Machine Operators,51_5112,Printing Press Operators**
51_6011,Laundry and Dry-Cleaning Workers,51_6011,Laundry and Dry-Cleaning Workers
51_6021,"Pressers, Textile, Garment, and Related Materials",51_6021,"Pressers, Textile, Garment, and Related Materials"
51_6031,Sewing Machine Operators,51_6031,Sewing Machine Operators
51_6041,Shoe and Leather Workers and Repairers,51_6041,Shoe and Leather Workers and Repairers
51_6042,Shoe Machine Operators and Tenders,51_6042,Shoe Machine Operators and Tenders
51_6051,"Sewers, Hand",51_6051,"Sewers, Hand"
51_6052,"Tailors, Dressmakers, and Custom Sewers",51_6052,"Tailors, Dressmakers, and Custom Sewers"
51_6061,Textile Bleaching and Dyeing Machine Operators and Tenders,51_6061,Textile Bleaching and Dyeing Machine Operators and Tenders
51_6062,"Textile Cutting Machine Setters, Operators, and Tenders",51_6062,"Textile Cutting Machine Setters, Operators, and Tenders"
51_6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",51_6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
51_6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",51_6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
51_6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",51_6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
51_6092,Fabric and Apparel Patternmakers,51_6092,Fabric and Apparel Patternmakers
51_6093,Upholsterers,51_6093,Upholsterers
51_6099,"Textile, Apparel, and Furnishings Workers, All Other",51_6099,"Textile, Apparel, and Furnishings Workers, All Other"
51_7011,Cabinetmakers and Bench Carpenters,51_7011,Cabinetmakers and Bench Carpenters
51_7021,Furniture Finishers,51_7021,Furniture Finishers
51_7031,"Model Makers, Wood",51_7031,"Model Makers, Wood"
51_7032,"Patternmakers, Wood",51_7032,"Patternmakers, Wood"
51_7041,"Sawing Machine Setters, Operators, and Tenders, Wood",51_7041,"Sawing Machine Setters, Operators, and Tenders, Wood"
51_7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",51_7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
51_7099,"Woodworkers, All Other",51_7099,"Woodworkers, All Other"
51_8011,Nuclear Power Reactor Operators,51_8011,Nuclear Power Reactor Operators
51_8012,Power Distributors and Dispatchers,51_8012,Power Distributors and Dispatchers
51_8013,Power Plant Operators,51_8013,Power Plant Operators
51_8021,Stationary Engineers and Boiler Operators,51_8021,Stationary Engineers and Boiler Operators
51_8031,Water and Liquid Waste Treatment Plant and System Operators,51_8031,Water and Wastewater Treatment Plant and System Operators
51_8091,Chemical Plant and System Operators,51_8091,Chemical Plant and System Operators
51_8092,Gas Plant Operators,51_8092,Gas Plant Operators
51_8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51_8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
51_8099,"Plant and System Operators, All Other",51_8099,"Plant and System Operators, All Other"
51_9011,Chemical Equipment Operators and Tenders,51_9011,Chemical Equipment Operators and Tenders
51_9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",51_9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
51_9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",51_9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
51_9022,"Grinding and Polishing Workers, Hand",51_9022,"Grinding and Polishing Workers, Hand"
51_9023,"Mixing and Blending Machine Setters, Operators, and Tenders",51_9023,"Mixing and Blending Machine Setters, Operators, and Tenders"
51_9031,"Cutters and Trimmers, Hand",51_9031,"Cutters and Trimmers, Hand"
51_9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",51_9032,"Cutting and Slicing Machine Setters, Operators, and Tenders"
51_9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",51_9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
51_9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",51_9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
51_9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",51_9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
51_9071,Jewelers and Precious Stone and Metal Workers,51_9071,Jewelers and Precious Stone and Metal Workers
51_9081,Dental Laboratory Technicians,51_9081,Dental Laboratory Technicians
51_9082,Medical Appliance Technicians,51_9082,Medical Appliance Technicians
51_9083,Ophthalmic Laboratory Technicians,51_9083,Ophthalmic Laboratory Technicians
51_9111,Packaging and Filling Machine Operators and Tenders,51_9111,Packaging and Filling Machine Operators and Tenders
51_9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",51_9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
51_9122,"Painters, Transportation Equipment",51_9122,"Painters, Transportation Equipment"
51_9123,"Painting, Coating, and Decorating Workers",51_9123,"Painting, Coating, and Decorating Workers"
51_9131,Photographic Process Workers,51_9151,Photographic Process Workers and Processing Machine Operators**
51_9132,Photographic Processing Machine Operators,51_9151,Photographic Process Workers and Processing Machine Operators**
51_9141,Semiconductor Processors,51_9141,Semiconductor Processors
51_9191,Cementing and Gluing Machine Operators and Tenders,51_9191,Adhesive Bonding Machine Operators and Tenders
51_9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51_9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
51_9193,Cooling and Freezing Equipment Operators and Tenders,51_9193,Cooling and Freezing Equipment Operators and Tenders
51_9194,Etchers and Engravers,51_9194,Etchers and Engravers
51_9195,"Molders, Shapers, and Casters, Except Metal and Plastic",51_9195,"Molders, Shapers, and Casters, Except Metal and Plastic"
51_9196,"Paper Goods Machine Setters, Operators, and Tenders",51_9196,"Paper Goods Machine Setters, Operators, and Tenders"
51_9197,Tire Builders,51_9197,Tire Builders
51_9198,Helpers--Production Workers,51_9198,Helpers--Production Workers
51_9199,"Production Workers, All Other*",51_9199,"Production Workers, All Other"
51_9199,"Production Workers, All Other*",51_3099,"Food Processing Workers, All Other"
53_1011,Aircraft Cargo Handling Supervisors,53_1011,Aircraft Cargo Handling Supervisors
53_1021,"First-Line Supervisors/Managers of Helpers, Laborers, and Material Movers, Hand",53_1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
53_1031,First-Line Supervisors/Managers of Transportation and Material-Moving Machine and Vehicle Operators,53_1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
53_2011,"Airline Pilots, Copilots, and Flight Engineers",53_2011,"Airline Pilots, Copilots, and Flight Engineers"
53_2012,Commercial Pilots,53_2012,Commercial Pilots
53_2021,Air Traffic Controllers,53_2021,Air Traffic Controllers
53_2022,Airfield Operations Specialists,53_2022,Airfield Operations Specialists
53_3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53_3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
53_3021,"Bus Drivers, Transit and Intercity",53_3021,"Bus Drivers, Transit and Intercity "
53_3022,"Bus Drivers, School",53_3022,"Bus Drivers, School or Special Client "
53_3031,Driver/Sales Workers,53_3031,Driver/Sales Workers
53_3032,"Truck Drivers, Heavy and Tractor-Trailer",53_3032,Heavy and Tractor-Trailer Truck Drivers
53_3033,"Truck Drivers, Light or Delivery Services",53_3033,Light Truck or Delivery Services Drivers
53_3041,Taxi Drivers and Chauffeurs,53_3041,Taxi Drivers and Chauffeurs
53_3099,"Motor Vehicle Operators, All Other",53_3099,"Motor Vehicle Operators, All Other"
53_4011,Locomotive Engineers,53_4011,Locomotive Engineers
53_4012,Locomotive Firers,53_4012,Locomotive Firers
53_4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",53_4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
53_4021,"Railroad Brake, Signal, and Switch Operators",53_4021,"Railroad Brake, Signal, and Switch Operators"
53_4031,Railroad Conductors and Yardmasters,53_4031,Railroad Conductors and Yardmasters
53_4041,Subway and Streetcar Operators,53_4041,Subway and Streetcar Operators
53_4099,"Rail Transportation Workers, All Other",53_4099,"Rail Transportation Workers, All Other"
53_5011,Sailors and Marine Oilers,53_5011,Sailors and Marine Oilers
53_5021,"Captains, Mates, and Pilots of Water Vessels",53_5021,"Captains, Mates, and Pilots of Water Vessels"
53_5022,Motorboat Operators,53_5022,Motorboat Operators
53_5031,Ship Engineers,53_5031,Ship Engineers
53_6011,Bridge and Lock Tenders,53_6011,Bridge and Lock Tenders
53_6021,Parking Lot Attendants,53_6021,Parking Lot Attendants
53_6031,Service Station Attendants,53_6031,Automotive and Watercraft Service Attendants
53_6041,Traffic Technicians,53_6041,Traffic Technicians
53_6051,Transportation Inspectors,53_6051,Transportation Inspectors
53_6099,"Transportation Workers, All Other",53_6099,"Transportation Workers, All Other"
53_7011,Conveyor Operators and Tenders,53_7011,Conveyor Operators and Tenders
53_7021,Crane and Tower Operators,53_7021,Crane and Tower Operators
53_7031,Dredge Operators,53_7031,Dredge Operators
53_7032,Excavating and Loading Machine and Dragline Operators,53_7032,Excavating and Loading Machine and Dragline Operators
53_7033,"Loading Machine Operators, Underground Mining",53_7033,"Loading Machine Operators, Underground Mining"
53_7041,Hoist and Winch Operators,53_7041,Hoist and Winch Operators
53_7051,Industrial Truck and Tractor Operators,53_7051,Industrial Truck and Tractor Operators
53_7061,Cleaners of Vehicles and Equipment,53_7061,Cleaners of Vehicles and Equipment
53_7062,"Laborers and Freight, Stock, and Material Movers, Hand",53_7062,"Laborers and Freight, Stock, and Material Movers, Hand"
53_7063,Machine Feeders and Offbearers,53_7063,Machine Feeders and Offbearers
53_7064,"Packers and Packagers, Hand",53_7064,"Packers and Packagers, Hand"
53_7071,Gas Compressor and Gas Pumping Station Operators,53_7071,Gas Compressor and Gas Pumping Station Operators
53_7072,"Pump Operators, Except Wellhead Pumpers",53_7072,"Pump Operators, Except Wellhead Pumpers"
53_7073,Wellhead Pumpers,53_7073,Wellhead Pumpers
53_7081,Refuse and Recyclable Material Collectors,53_7081,Refuse and Recyclable Material Collectors
53_7111,Shuttle Car Operators,53_7111,Mine Shuttle Car Operators
53_7121,"Tank Car, Truck, and Ship Loaders",53_7121,"Tank Car, Truck, and Ship Loaders"
53_7199,"Material Moving Workers, All Other",53_7199,"Material Moving Workers, All Other"
55_1011,Air Crew Officers,55_1011,Air Crew Officers
55_1012,Aircraft Launch and Recovery Officers,55_1012,Aircraft Launch and Recovery Officers
55_1013,Armored Assault Vehicle Officers,55_1013,Armored Assault Vehicle Officers
55_1014,Artillery and Missile Officers,55_1014,Artillery and Missile Officers
55_1015,Command and Control Center Officers,55_1015,Command and Control Center Officers
55_1016,Infantry Officers,55_1016,Infantry Officers
55_1017,Special Forces Officers,55_1017,Special Forces Officers
55_1019,"Military Officer Special and Tactical Operations Leaders/Managers, All Other",55_1019,"Military Officer Special and Tactical Operations Leaders, All Other"
55_2011,First-Line Supervisors/Managers of Air Crew Members,55_2011,First-Line Supervisors of Air Crew Members
55_2012,First-Line Supervisors/Managers of Weapons Specialists/Crew Members,55_2012,First-Line Supervisors of Weapons Specialists/Crew Members
55_2013,First-Line Supervisors/Managers of All Other Tactical Operations Specialists,55_2013,First-Line Supervisors of All Other Tactical Operations Specialists
55_3011,Air Crew Members,55_3011,Air Crew Members
55_3012,Aircraft Launch and Recovery Specialists,55_3012,Aircraft Launch and Recovery Specialists
55_3013,Armored Assault Vehicle Crew Members,55_3013,Armored Assault Vehicle Crew Members
55_3014,Artillery and Missile Crew Members,55_3014,Artillery and Missile Crew Members
55_3015,Command and Control Center Specialists,55_3015,Command and Control Center Specialists
55_3016,Infantry,55_3016,Infantry
55_3017,Radar and Sonar Technicians,55_3017,Radar and Sonar Technicians
55_3018,Special Forces,55_3018,Special Forces
55_3019,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",55_3019,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other"
